gnn_pc1,gnn_pc2,fp_pc1,fp_pc2,label_pc1,label_pc2,floral,muguet,lavender,jasmin,meaty,savory,beefy,roasted,alcoholic,cognac,fermented,winey
4.0990586,-4.6830254,4.3097644,-2.0541787,-1.8049257397897625,-0.7818616029494759,False,False,False,False,False,False,False,False,False,False,False,False
-4.1981373,12.037624,-0.87638783,0.9069191,0.3177690387423794,1.389602553948036,False,False,False,False,False,False,False,False,False,False,False,False
8.839882,-1.2733482,-0.5582297,-0.9535593,-0.4199524641544169,-4.479055810594967,False,False,False,False,False,False,False,False,True,True,False,False
-2.1160588,6.0743737,1.0082252,3.52877,0.0557959087369175,2.238501396640374,True,False,False,False,False,False,False,False,False,False,False,False
-3.1352735,2.8491073,0.32839257,5.025255,-0.7684927960213184,0.1718495973139271,True,False,False,False,False,False,False,False,False,False,False,False
6.553688,4.5985503,-0.021284418,0.04932965,0.5365036462669127,0.0196186486725119,False,False,False,False,False,False,False,False,False,False,False,False
6.4216065,-0.62720233,-0.6979073,-0.36218184,-0.0868904076759216,-1.4507021740473112,False,False,False,False,False,False,False,False,False,False,False,True
-5.686531,2.4456453,-5.6991835,-2.575747,-0.9373511449380684,3.73220240575264,False,False,False,False,False,False,False,False,False,False,False,False
-7.318498,4.8370757,-1.2932926,7.38721,-0.2517883876790033,1.2151842532969552,True,False,False,False,False,False,False,False,False,False,False,False
-12.005396,-3.7276466,-3.5430212,-1.253298,0.082539744999534,1.061445692270727,False,False,False,False,False,False,False,False,False,False,False,False
8.61934,0.59120995,0.67067516,-1.4520241,-0.0421716756184054,0.6996734539722862,False,False,False,False,False,False,False,False,False,False,False,False
3.3188522,-11.053204,5.093204,-3.6210122,-1.4413386003669233,-2.3843492593140856,False,False,False,False,False,False,False,False,False,False,False,False
5.11066,1.9542869,3.7161236,-1.1216736,-0.1693688475976478,-0.534638438249255,False,False,False,False,False,False,False,False,False,False,False,False
5.42493,-4.5447187,3.7971985,-2.711955,-1.0387146315782607,0.0281973699024884,False,False,False,False,False,False,False,False,False,False,False,False
3.6197248,7.6846747,-2.8286233,-0.62247103,0.3547933202743954,0.5189694101631209,False,False,False,False,False,False,False,False,False,False,False,False
-0.08609395,-3.558217,6.681614,-1.8066175,0.0735589079893442,-0.574370508856469,False,False,False,False,False,False,False,False,False,False,False,False
-8.480881,-1.2767795,0.12611324,6.047228,-0.5438389654208892,-0.5365834165818657,False,False,False,False,False,False,False,False,False,False,False,False
-7.0403333,-0.4205508,-6.6324573,-2.3927455,0.082539744999534,1.061445692270727,False,False,False,False,False,False,False,False,False,False,False,False
-9.093542,8.03123,-2.1553283,15.86872,-0.704693295082617,3.065643685133786,False,False,False,False,False,False,False,False,False,False,False,False
-8.586031,0.061939422,-2.7673855,4.478763,-1.0011944413512246,0.8380187871879056,True,False,False,False,False,False,False,False,False,False,False,False
6.657294,-3.4929254,2.1287558,-1.7076067,-0.8912377324851176,-4.141477411912305,False,False,False,False,False,False,False,False,False,True,True,False
11.706148,-0.7818802,0.90501285,-0.9817208,1.4894236939909722,-1.619575668038016,False,False,False,False,False,False,False,False,False,False,False,False
5.005416,5.5912867,-1.4554917,3.1654115,1.6266790412754877,-0.2092416983050925,False,False,False,False,False,False,False,False,True,False,False,False
3.555987,-9.58881,4.5311155,-1.694943,-2.442991449296727,-3.273275842458303,False,False,False,False,False,False,False,False,False,False,False,False
6.109001,8.599646,-3.1837256,-0.6319852,2.258159744212233,0.2715228786279718,False,False,False,False,False,False,False,False,False,False,False,False
1.4478412,-1.2017035,1.3737385,-0.2343163,0.946285772812901,-0.3326554089733582,False,False,False,False,False,False,False,False,False,False,False,False
4.9195895,10.117057,-3.0664597,0.34839007,0.3547933202743954,0.5189694101631209,False,False,False,False,False,False,False,False,False,False,False,False
-1.4581752,6.9351597,-1.8919197,6.8422103,0.3547933202743954,0.5189694101631209,False,False,False,False,False,False,False,False,False,False,False,False
-5.338837,-3.5756624,-4.2153177,-2.6341803,-0.7058285719405146,1.6323311512482237,False,False,False,False,False,False,False,False,False,False,False,False
-10.655635,-3.779044,-3.3456008,-2.8467512,-1.2492096435211382,0.5762431398181012,True,True,False,False,False,False,False,False,False,False,False,False
8.386748,-2.9855983,3.6119196,-0.79626817,-0.1551098488868784,-0.9688940702893092,False,False,False,False,False,False,False,False,False,False,False,False
-9.456304,9.188133,-6.440481,0.79741794,-0.9972275413764916,1.9124488269637407,True,False,False,False,False,False,False,False,False,False,False,False
-9.797808,0.43544266,-6.1976423,-1.9892988,-0.2228993328129032,2.0885147817896725,False,False,False,False,False,False,False,False,False,False,False,False
-3.0214114,0.7468485,-6.750929,-2.4200885,-0.0990295299230018,0.0468159531711712,False,False,False,False,False,False,False,False,False,False,False,False
6.397703,-9.546274,4.114667,-1.2108525,-0.6153584373722145,-1.553657944014636,False,False,False,False,False,False,False,False,False,False,False,False
-2.5356655,0.97796714,-2.9830625,-2.6156936,-1.0233897653690027,1.4234813381799611,False,False,False,False,False,False,False,False,False,False,False,False
9.173902,0.55285156,1.0907879,0.066560775,0.1704453080655729,-1.7324433330361135,False,False,False,False,False,False,False,False,False,False,False,False
-3.6751254,4.829356,-1.2108219,4.5629425,-1.2402739028950496,0.8402225906622828,True,False,False,False,False,False,False,False,False,False,False,False
-6.1201115,-0.43778044,-3.8708932,-4.2160177,-0.131685010923871,0.937685046001862,False,False,False,False,False,False,False,False,False,False,False,False
11.312695,2.2239616,2.5538113,-0.12760597,4.574930303567761,-3.1302526404054807,False,False,False,False,False,False,False,True,False,False,False,False
-9.948308,1.7741976,-1.7247196,1.320166,-1.2498518760501316,2.7615948004137985,False,False,False,False,False,False,False,False,False,False,False,False
2.0536187,-9.231851,3.7022014,-1.448599,-1.4465287036864791,-3.319793886516912,False,False,False,False,False,False,False,False,False,False,False,True
8.037752,-1.9765759,0.21390697,0.09469303,-0.1879125513805545,-1.025711316634318,False,False,False,False,False,False,False,False,False,False,False,False
7.5018125,-6.092085,2.108578,0.35909534,-0.92831068358767,-2.679824988205798,False,False,False,False,False,False,False,False,False,False,False,False
-8.040467,2.7990713,-10.556466,-4.725941,-1.6627316759791315,3.0830666523472114,False,False,False,False,False,False,False,False,False,False,False,False
-9.074041,2.2173417,-10.263745,-6.327233,0.3547933202743954,0.5189694101631209,False,False,False,False,False,False,False,False,False,False,False,False
-1.4145161,-3.8406518,-1.9084784,-8.458516,-1.4331908020532254,-2.088109831924273,False,False,False,False,False,False,False,False,False,False,False,False
5.1568017,-6.5225525,6.4843373,0.08770969,-0.7512520596586941,-2.0656201379959174,False,False,False,False,False,False,False,False,False,False,False,False
-0.81743497,-4.7248454,-0.027849037,-9.026968,-0.7665830480511775,-1.3557633609070274,False,False,False,False,False,False,False,False,False,False,False,False
1.2248445,-3.3575778,-0.21611659,-0.7767473,0.3769139839579833,0.4655253460191526,False,False,False,False,False,False,False,False,False,False,False,False
-11.606569,-3.0378041,-4.325773,-2.787514,-1.1833958807435132,1.2698325765113694,True,False,False,False,False,False,False,False,False,False,False,False
-4.771408,2.1121693,-4.7695236,-1.5963283,-0.4468840840924464,0.8418130833088179,False,False,False,False,False,False,False,False,False,False,False,False
-2.6677856,1.8030045,1.175401,-9.396951,-0.1267996301109692,-0.14290496504502,False,False,False,False,False,False,False,False,False,False,False,False
-0.052022334,-7.7107825,4.2650194,-1.9407332,-2.2615300645213865,-2.393399480694109,False,False,False,False,False,False,False,False,False,False,False,False
5.6297803,-3.183892,3.1748056,-1.5445238,-1.6405674600629594,-3.1044777011211866,False,False,False,False,False,False,False,False,False,False,False,True
2.4578943,-8.480078,3.0612617,-2.2175066,-0.3582342903769051,-0.5757936005515442,False,False,False,False,False,False,False,False,False,False,False,False
4.421156,9.356547,-2.795146,1.0636066,0.5738788006350942,0.6071917906113836,False,False,False,False,False,False,False,False,False,False,False,False
-3.5887358,4.0267878,0.13473986,4.1355133,-0.709576707285172,2.4790746886964383,False,False,False,False,False,False,False,False,False,False,False,False
8.221663,-3.0010312,-0.4278451,-2.074601,0.6850333330034928,-0.6439392179849601,False,False,False,False,False,False,False,False,False,False,False,False
6.9736605,0.3960464,0.19464634,-1.153332,-0.0593065382568358,-0.2120831354818782,False,False,False,False,False,False,False,False,False,False,False,False
-6.356327,0.988316,-3.2831845,4.4760213,-1.5873156330209988,0.325543450504853,True,False,False,False,False,False,False,False,False,False,False,False
3.3428528,-8.491041,1.8099861,-1.685975,-0.0593065382568358,-0.2120831354818782,False,False,False,False,False,False,False,False,False,False,False,False
4.062834,-9.121953,6.8842864,-2.680452,-1.7628619016430758,-3.072175004071956,True,False,False,False,False,False,False,False,False,False,False,False
-7.07951,-6.7831335,3.8189719,-4.002497,-0.5287425760710749,1.302098140919253,False,False,False,False,False,False,False,False,False,False,False,False
3.0068111,-7.1624074,3.0957353,-2.0286558,-1.2449176751184658,-2.0655540585194774,False,False,False,False,False,False,False,False,False,False,False,False
2.932548,-5.119961,3.1881623,-3.8934135,-1.5805426778827656,-2.760041559385981,False,False,False,False,False,False,False,False,False,False,False,False
7.4511952,9.535225,-1.5272892,-0.42856705,3.601516247416979,-0.0078761198914358,False,False,False,False,True,False,False,True,False,False,False,False
7.0665336,7.82997,-2.8981953,0.91570663,3.329995764841364,-1.238213938848849,False,False,False,False,False,False,False,False,False,False,False,False
-7.977887,-3.9152174,1.3059129,3.4020638,-1.580776525255447,-1.3645246141557117,True,False,False,False,False,False,False,False,False,False,False,False
-3.372136,-6.0181866,-0.65893716,-5.667959,-0.8620592144038223,0.7155434222107278,True,False,False,False,False,False,False,False,False,False,False,False
4.8296,-2.6932442,3.2533765,-1.4789205,-1.6735503209385223,-0.5744325496494541,True,False,False,False,False,False,False,False,False,False,False,False
5.0222144,11.372796,-3.7624996,0.66687435,3.5208203702012293,0.1865382783915799,False,False,False,False,True,False,False,False,False,False,False,False
1.9842527,11.334735,-2.4236143,2.6486795,9.532541317124744,0.7782872140857625,False,False,False,False,True,False,True,False,False,False,False,False
-10.094585,6.229525,-8.420855,-0.13731334,-0.4038364077211322,1.9620000457732591,False,False,False,False,False,False,False,False,False,False,False,False
0.97505474,-0.5853811,5.917746,-2.2361853,-0.2724778775871896,-0.5951373713768239,False,False,False,False,False,False,False,False,False,False,False,False
8.055173,5.9550967,-1.2500414,0.31788883,1.1662414641141154,-0.6929563267701307,False,False,False,False,False,False,False,False,False,False,False,False
3.4455016,9.421703,-3.239958,0.049185485,2.8231445042122827,-0.024796339030874,False,False,False,False,True,False,False,False,False,False,False,False
5.687606,2.4957597,0.5489781,-1.7916939,2.88688930013315,0.9706489211605456,False,False,False,False,True,False,False,False,False,False,False,False
5.8630767,-4.758266,5.79461,-0.68490344,-1.9254337804021364,-4.5340637515299855,False,False,False,False,False,False,False,False,False,False,False,False
7.8295307,-6.556487,2.3630753,-2.4757204,-2.101191701564676,-1.097303548441125,True,False,False,False,False,False,False,False,False,False,False,False
